work_id	collection_number	working_title	year	venue	pages	source_id	heading_start_line	heading_end_line	source_start_line	source_end_line	bibliography_start_line	bibliography_end_line	numbering_status	authors	authorship_status	coverage_state	initial_lean_lane	canon_qa_state	notes
P01	1	Über die Bildung des Formensystems der ternären biquadratischen Form.	1907	Sitz. Ber. d. Physikal.-mediz. Sozietät in Erlangen 39	176–179	ED0014_R785	382	382	381	460	23993	23994	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVARIANT_THEORY	NONE	Dissertation extract; precursor of P02.
P02	2	Über die Bildung des Formensystems der ternären biquadratischen Form.	1908	J. Reine Angew. Math. 134	23–90 plus table(s)	ED0014_R785	474	474	473	3573	23995	23996	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVARIANT_THEORY	OPEN_CANON_QA	Body line 478 says “u. zwei Tabellen”; bibliography line 23996 says “u. eine Tabelle”.
P03	3	Zur Invariantentheorie der Formen von n Variabeln.	1910	J. Ber. d. DMV 19	101–104	ED0014_R785	3575	3575	3574	3609	23997	23998	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVARIANT_THEORY	NONE	Short preliminary communication.
P04	4	Zur Invariantentheorie der Formen von n Variabeln.	1911	J. Reine Angew. Math. 139	118–154	ED0014_R785	3613	3614	3612	4527	23999	24000	INFERRED_SEQUENCE_BIBLIOGRAPHY	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVARIANT_THEORY	NONE	Collection number 4 is absent from the body heading.
P05	5	Rationale Funktionenkörper.	1913	J. Ber. d. DMV 22	316–319	ED0014_R785	4537	4537	4536	4574	24001	24002	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	FUNCTION_FIELDS	NONE	Preliminary communication.
P06	6	Körper und Systeme rationaler Funktionen.	1915	Math. Ann. 76	161–196	ED0014_R785	4578	4578	4577	5830	24003	24004	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	FUNCTION_FIELDS_AND_INTEGRAL_BASES	NONE	
P07	7	Der Endlichkeitssatz der Invarianten endlicher Gruppen.	1916	Math. Ann. 77	89–92	ED0014_R785	5843	5843	5843	5956	24005	24006	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	FINITE_GROUP_INVARIANTS	NONE	Orbit-polynomial specialization is green; the full invariant-system and degree-bound theorems remain gap candidates in noether-theorems.tsv.
P08	8	Über ganze rationale Darstellung der Invarianten eines Systems von beliebig vielen Grundformen.	1916	Math. Ann. 77	93–102	ED0014_R785	5958	5958	5958	6345	24007	24008	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVARIANT_THEORY	NONE	P16 is an addition and correction to part III.
P09	9	Die allgemeinsten Bereiche aus ganzen transzendenten Zahlen.	1916	Math. Ann. 77	103–128	ED0014_R785	6349	6349	6349	7677	24009	24010	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	COMMUTATIVE_ALGEBRA	NONE	P16 lines 10061–10062 contain corrections.
P10	10	Die Funktionalgleichungen der isomorphen Abbildung.	1916	Math. Ann. 77	536–545	ED0014_R785	7681	7681	7681	7879	24011	24012	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	FIELD_HOMOMORPHISMS	NONE	
P11	11	Gleichungen mit vorgeschriebener Gruppe.	1918	Math. Ann. 78	221–229	ED0014_R785	7882	7882	7882	8084	24013	24014	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	INVERSE_GALOIS	NONE	P16 lines 10063–10064 correct the field hypothesis.
P12	12	Invarianten beliebiger Differentialausdrücke.	1918	Nachr. v. d. Ges. d. Wiss. zu Göttingen	37–44	ED0014_R785	8088	8088	8088	8486	24015	24016	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	DIFFERENTIAL_INVARIANTS	NONE	
P13	13	Invariante Variationsprobleme.	1918	Nachr. v. d. Ges. d. Wiss. zu Göttingen	235–257	ED0014_R785	8489	8489	8489	9099	24017	24018	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	VARIATIONAL_THEOREMS	NONE	Sätze I and II and the Hilbert claim are mapped; a green test-function support lemma is promoted, while the headline results require variational infrastructure and qualified converses.
P14	14	Die arithmetische Theorie der algebraischen Funktionen einer Veränderlichen in ihrer Beziehung zu den übrigen Theorien und zu der Zahlkörpertheorie.	1919	J. Ber. d. DMV 28	182–203	ED0014_R785	9105	9105	9104	9272	24019	24020	EXPLICIT	Emmy Noether	SOLE_NOETHER	NOT_AUDITED	ALGEBRAIC_FUNCTIONS_AND_NUMBER_THEORY	NONE	Survey and source-map candidate.
P15	15	Die Endlichkeit des Systems der ganzzahligen Invarianten binärer Formen.	1919	Nachr. v. d. Ges. d. Wiss. zu Göttingen	138–156	ED0014_R785	9284	9284	9284	9901	24021	24022	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	INTEGRAL_INVARIANTS	OPEN_CANON_QA	All four Sätze and the determinant, multisymmetric, Plücker, straightening, and finite-group conclusions are mapped. The quadratic Plücker support identity is promoted with a clean bounded build and axiom output; three formula conflicts and two review-only items remain with the canon owner.
P16	16	Zur Reihenentwicklung in der Formentheorie.	1920	Math. Ann. 81	25–30	ED0014_R785	9904	9904	9904	10068	24023	24024	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	INVARIANT_THEORY	RESOLVED_CANON_QA	All ten numbered formulas/results are mapped. The exact substitution-kernel congruence [3] is promoted with bounded build and axiom evidence; Fischer normal forms, Plücker kernels, polar and Omega expansions remain gaps. Primary-witness review confirms formula [9]'s bare equality as print-faithful continuation from F_i; P16's three later comments are authorial corrigenda.
P17	17	Moduln in nichtkommutativen Bereichen, insbesondere aus Differential- und Differenzenausdrücken.	1920	Math. Z. 8	1–35	ED0014_R785	10090	10091	10071	11214	24025	24026	COMMENT_IDENTIFIED_NO_DISPLAY_NUMBER	Emmy Noether; Werner Schmeidler	EXPLICIT_JOINT	PARTIAL_AUDIT	NONCOMMUTATIVE_MODULES	OPEN_CANON_QA	All numbered Sätze, the Hilfssatz, and the key unnumbered uniqueness result are mapped. The forward Satz-I quotient-product core is promoted with a bounded Lean 4.31 build and axiom output. Four formula/reference conflicts and three scope cautions were reported to the canon owner on 2026-08-24.
P18	18	Über eine Arbeit des im Kriege gefallenen K. Hentzelt zur Eliminationstheorie.	1921	J. Ber. d. DMV 30	101	ED0014_R785	11225	11225	11218	11242	24027	24028	COMMENT_IDENTIFIED_CONFERENCE_ITEM	Kurt Hentzelt (mathematical source); Emmy Noether (report/editorial)	ATTRIBUTION_SENSITIVE	PARTIAL_AUDIT	ELIMINATION_PRECURSOR	RESOLVED_CANON_QA	All nine mathematical claims are mapped with strict Hentzelt/Noether attribution separation. Primary witnesses correct the bibliographic page from 48 to 101 and confirm singular adjungiert ist as an original anomaly. The later Hentzelt–Noether paper confirms staged triangular resultant semantics, replacing the earlier layout blocker with a concrete dependency.
P19	19	Idealtheorie in Ringbereichen.	1921	Math. Ann. 83	24–66	ED0014_R785	11247	11247	11246	12395	24029	24030	INFERRED_SEQUENCE_BIBLIOGRAPHY	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	IDEAL_THEORY_1921	NONE	Collection number 19 is absent from the body heading; theorem-level coverage is in noether-theorems.tsv.
P20	20	Ein algebraisches Kriterium für absolute Irreduzibilität.	1922	Math. Ann. 85	26–33	ED0014_R785	12398	12398	12398	12608	24031	24032	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	ABSOLUTE_IRREDUCIBILITY	NONE	The universal reducibility form and Ostrowski specialization are mapped as high-value gaps; a green finite-prime-divisor support component is promoted without claiming either headline theorem.
P21	21	Formale Variationsrechnung und Differentialinvarianten.	1922	Encyklopädie d. math. Wiss.	68–71	ED0014_R785	12610	12610	12610	12699	24033	24034	EXPLICIT	Emmy Noether	SOLE_NOETHER	PARTIAL_AUDIT	VARIATIONAL_AND_DIFFERENTIAL_INVARIANTS	OPEN_CANON_QA	All 28 distinct claims and definitions are mapped with historical attribution separated. Primary print confirms f(dx) and δf, so ED0020 removes the two spurious primes; capital D in (141) is print-faithful and must be typed as a third formal differential. Jets, higher variations, curvature reconstruction, and Noether I/II remain gaps or deferred. The II,3 versus III,3 bibliography conflict remains open.
