id	work_id	work	year	source_locator	source_witness_sha256	mathlib_coverage	mathlib_declarations	local_contribution	local_declaration	build_status	receipt	axioms	qa_effect	limitations
HENTZELT-NOETHER-1923-FIRST-GROUND-MODULE-LOCALIZATION	P22	Zur Theorie der Polynomideale und Resultanten	1923	Satz VII lines 13162–13164; coefficient-field localization immediately before equation (24)	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	FORMALIZED_GAP	MvPolynomial.finSuccEquiv; Polynomial.degreeLT; Polynomial.degreeLT.basis; Polynomial.degreeLTEquiv; Polynomial.isLocalization; FractionRing; IsLocalizedModule; Submodule.localized'; IsLocalizedModule.isTorsionFree; Module.finrank	PROMOTED_THEOREM	MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.degreeLTMapEquiv; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.map_nonzeroScalarSaturation_equiv; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.isGroundModule_iff_quotient_isTorsionFree; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.degreeLTLocalizationMap; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localized_eq_nonzeroScalarSaturation_localized; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.lateVariableCoefficientRing; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.lateVariableFractionField; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.secondVariablePID; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.secondVariableGroundModule; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.secondVariableOriginalModule; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.secondVariableGroundModule_eq_saturation; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.lateVariableDenominators; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.secondVariableBoundedLocalizationMap; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableGroundModule; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableOriginalModule; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableGroundModule_eq_saturation; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.finrank_localizedSecondVariable_relativeDenominator_eq	built_v4.31.0	artifacts/build/claim-P22-first-ground-module-localization-20260828T1741336133599-43d2ef8c.json	propext; Classical.choice; Quot.sound	neutral	Uses the source-faithful tower B = P[x₃,…], A = B[x₂], K = Frac(B), and R = K[x₂]; the map A → R localizes only B and fixes x₂. It proves exact base change of saturation for the actual cutoff-one pair and equal localized finrank, closing the PID full-rank premise for equation (24). It does not separately name localized torsion or finite-generation endpoints, choose Smith bases, order elementary divisors, add the infinite ζ-tail, identify a determinant norm or resultant, or treat later stages.
HENTZELT-NOETHER-1923-FIRST-SMITH-PAIRED-QUOTIENT	P22	Zur Theorie der Polynomideale und Resultanten	1923	Satz VII equation (24), lines 13164–13173; finite cutoff-one Smith instance	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	FORMALIZED_GAP	Pi.basisFun; Submodule.basisOfPid; Submodule.smithNormalFormTopBasis; Submodule.smithNormalFormBotBasis; Submodule.smithNormalFormBotBasis_def; Submodule.smithNormalFormCoeffs; Submodule.smithNormalFormCoeffs_ne_zero; Submodule.quotientEquivPiSpan; LinearMap.det_toMatrix; Matrix.det_diagonal	PROMOTED_THEOREM	MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableAmbientBasis; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableGroundBasisSigma; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableSmithRank; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableSmithIndex; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableGroundBasis; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableEtaBasis; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableDenominatorBasis; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableSmithCoefficients; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableDenominatorBasis_eq_smul_eta; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariable_smul_eta_mem_original; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableSmithCoefficients_ne_zero; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.localizedSecondVariableRelativeQuotientEquivSmithCyclic; MathematicalCommons.Noether.PolynomialIdealsAndResultants1923.RegularIdealDecomposition.det_localizedSecondVariableSmithBasisTransition_eq_prod	built_v4.31.0	artifacts/build/claim-P22-first-smith-paired-quotient-20260828T1741336133599-43d2ef8c.json	propext; Classical.choice; Quot.sound	neutral	Instantiates the existing generic Smith package for the actual localized cutoff-one pair over R = Frac(P[x₃,…])[x₂]. It supplies selected Smith bases and coefficients, the diagonal relation, denominator membership, the finite cyclic-quotient decomposition, and the selected-basis determinant product. This is the finite source instance underlying equation (24), not the whole infinite system; divisibility ordering, the infinite ζ-tail and unit factors, determinant-norm/resultant identification, primitive normalization, choice independence, and later stages remain open.
NOETH-1916-ORBIT-RESOLVENT	P07	Der Endlichkeitssatz der Invarianten endlicher Gruppen	1916	lines 5871–5888; specialized one-element orbit factor product	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	MATHLIB_EXACT	MulSemiringAction.charpoly; MulSemiringAction.charpoly_eq; MulSemiringAction.monic_charpoly; MulSemiringAction.eval_charpoly; MulSemiringAction.smul_charpoly; MulSemiringAction.smul_coeff_charpoly	NEW_PACKAGING	MathematicalCommons.Noether.FiniteGroupInvariants1916.orbitPolynomial_audit_bundle	built_v4.31.0_release_verified	artifacts/release/noether-pilot-0.1.0-dev/FiniteGroupInvariants1916-20260824T2243486165458-12e7ff1d.receipt.json	propext; Classical.choice; Quot.sound	neutral_no_defect_found	Only the one-element orbit polynomial is covered; it is not Noether's multivariate full invariant-system theorem. Source uses z plus a linear form; X minus C(g • x) matches after negating that form.
NOETH-1916-RESOLVENT-FULL-SYSTEM	P07	Der Endlichkeitssatz der Invarianten endlicher Gruppen	1916	line 5888	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	MulSemiringAction.charpoly is only a partial ingredient	NONE		mathlib_audit_open			neutral	Multivariate polarization/coefficient extraction and proof that the finitely many coefficients generate every invariant are not formalized.
NOETH-1916-POWER-SUM-DEGREE-BOUND	P07	Der Endlichkeitssatz der Invarianten endlicher Gruppen	1916	lines 5931–5933	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	GAP_CANDIDATE	Polynomial symmetric-function infrastructure; no end-to-end declaration found	NONE		in_design			neutral	Requires explicit coefficient-ring assumptions, multisymmetric power sums, generation, and the nonmodular degree bound at group order.
NOETH-1918-FUNDAMENTAL-LEMMA	P13	Invariante Variationsprobleme	1918	lines 8714–8720; test-function separation step in Satz II proof	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	NEW_PACKAGING	ae_eq_zero_of_integral_contDiff_smul_eq_zero; Measure.eq_of_ae_eq	SUPPORT_PACKAGING	MathematicalCommons.Noether.InvariantVariationalProblems1918.continuous_eq_zero_of_integral_contDiff_smul_eq_zero	built_v4.31.0	artifacts/build/InvariantVariationalProblems1918-20260824T2314257378139-f1526a01.receipt.json	propext; Classical.choice; Quot.sound	neutral	Generic pointwise test-function separation only; it does not formalize Satz II or any variational-symmetry claim.
NOETH-1918-SATZ-I-FORWARD	P13	Invariante Variationsprobleme	1918	Satz I line 8604; current formula line 8673	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	DEFERRED_INFRASTRUCTURE	No exact declaration found; differentiation, integration-by-parts, divergence, and Lie-group anchors only	NONE		dependency_graph_recorded			neutral	Needs jets/prolongations, total derivatives, Lagrangian Euler operator, first-variation identity, generalized symmetries, and currents modulo trivial ones.
NOETH-1918-SATZ-I-CONVERSE	P13	Invariante Variationsprobleme	1918	Satz I line 8604; qualifications lines 8732–8744	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	BLOCKED_SOURCE	Lie-group and integral-curve infrastructure is insufficient	NONE		qualified_restatement_required			neutral	Source divides by the density and leaves derivative-dependent group closure open; an unconditional iff would overstate the paper.
NOETH-1918-SATZ-II-FORWARD	P13	Invariante Variationsprobleme	1918	Satz II line 8606; identity formula line 8715	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	DEFERRED_INFRASTRUCTURE	test-function separation exists; no Euler-operator/formal-adjoint/gauge theorem	NONE		dependency_graph_recorded			neutral	Needs arbitrary-function symmetry, formal differential-operator adjoints, jets, Euler identities, and essential-rank notions.
NOETH-1918-SATZ-II-CONVERSE	P13	Invariante Variationsprobleme	1918	Satz II line 8606; qualifications lines 8829–8843	EE226847656BC4D65EDDA9E9BF9BB1D25797C0C6D672D267D94A97FD88C7AD58	BLOCKED_SOURCE	No gauge-pseudogroup integration theorem found	NONE		qualified_restatement_required			neutral	Source invokes Lie integration and retains derivative-dependent caveats; an unconditional modern converse is not source-safe.
