qa_id	work_id	source_locator	issue_type	controlled_reading	comparison_or_candidate	evidence	confidence	status	canon_owner_thread	reported_date	formalization_effect
NOETH-QA-001	P02	lines 478 and 23996	BIBLIOGRAPHIC_CONFLICT	body: u. zwei Tabellen	bibliography: u. eine Tabelle	The body and cumulative bibliography disagree on the number of tables.	medium	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	None until a source-dependent bibliographic claim is made.
NOETH-QA-002	P21	lines 12612 and 24034	BIBLIOGRAPHIC_CONFLICT	body: Encyklopädie d. math. Wiss. II, 3	bibliography: Encyklopädie d. math. Wiss. III, 3	The volume number differs between the work packet and cumulative bibliography.	medium	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	None for theorem statements; retain both readings in citations until reconciled.
NOETH-QA-003	P23	lines 13534, 13540, and 24037	TITLE_CONFLICT	body: Algebraische und Differentialinvarianten	bibliography: Algebraische und Differentialvarianten	The title noun differs in the cumulative bibliography.	high internal mismatch	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Do not normalize the work title in source quotations.
NOETH-QA-004	P39	lines 19052 and 24069	TITLE_CONFLICT	body: zur kommutativen Algebra und Zahlentheorie	bibliography: zur kommutativen Algebra und zur Zahlentheorie	The second zur is absent in the body title and present in the bibliography.	high internal mismatch	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	No mathematical effect; retain source-specific title readings.
NOETH-QA-005	P40	lines 19142, 19149, and 24071	TITLE_CONFLICT	displayed title: Nichtkommutative Algebra	section and bibliography: Nichtkommutative Algebren	Singular and plural title readings conflict inside the packet.	high internal mismatch	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	No theorem effect; avoid asserting a normalized canonical title.
NOETH-QA-006	P17	line 11139; comparisons 11162–11184, 11190, 11205	FORMULA_CONFLICT	ξ-(y/x)η=ξ-a	likely ξ-y/x=ξ-a	Later text sets a=y/x and repeatedly names the module ξ-y/x; the intervening η is algebraically inconsistent.	high	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Any formal example must preserve the controlled reading or state the reviewed correction explicitly.
NOETH-QA-007	P17	lines 11141 and 11205	SYMBOL_CONFLICT	quotient contains powers of y	likely powers of η	Only η-powers give the asserted infinite P-linear dimension; line 11205 explicitly says η.	high	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Blocks source-exact formalization of the infinite-dimensional quotient example.
NOETH-QA-008	P17	line 10586; target begins line 11137	CROSS_REFERENCE_CONFLICT	example §12.2	likely example §12.3	The cited infinite-prime-quotient example begins under §12.3, not §12.2.	medium-high pending scan	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Use line locators rather than the disputed subsection reference.
NOETH-QA-009	P17	lines 11190–11194	FORMULA_OMISSION	bare y log x − ∫φ(y)dy + c is called a common solution	likely exp(y log x − ∫φ(y)dy + c)	The bare exponent fails the displayed differential system; its exponential satisfies it.	high mathematically; scan required	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Blocks formal use of the example until the scan fixes whether an exponential wrapper was lost.
NOETH-QA-010	P17	Satz VIII line 10690; proof line 10696	STATEMENT_SCOPE	statement does not display α ≥ 2	proof explicitly assumes α ≥ 2	At least two isomorphic factors are necessary for the claimed family of alternative decompositions.	high	REVIEW_STATEMENT_SCOPE	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Formal Satz VIII must include the lower bound unless scan/layout review shows it is already scoped into the statement.
NOETH-QA-011	P17	lines 10214 and 10437–10440	SOURCE_MATH_CAUTION	arbitrary coefficient field P	proof divides by k−1	The displayed division is unavailable when the characteristic divides k−1; an orthogonal-idempotent proof may avoid the restriction.	medium-high	REVIEW_SOURCE_ARGUMENT	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Do not add a characteristic restriction silently; either formalize a division-free proof or document a qualified source proof.
NOETH-QA-012	P17	Satz XI line 10918; hypotheses lines 10920–10921	STATEMENT_SCOPE	analytic solution theorem stated before its analytic and regular-locus qualifications	later paragraph supplies analytic-function and regular-locus assumptions	Formal correctness requires the later qualifications to govern the theorem.	high	REVIEW_STATEMENT_SCOPE	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Pull the assumptions into any formal statement while preserving the source's paragraph order in transcription.
NOETH-QA-013	P15	line 9653; compare general substitutions line 9799	FORMULA_OMISSION	only ξ₁₄ = ξ₁₃ is displayed for the row-4/row-3 specialization	likely also ξ₂₄ = ξ₂₃	The declared specialized polynomial still uses ξ₂₃, and the general substitution family specializes both coordinates.	high; scan required	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Blocks a source-exact transcription of the four-row straightening specialization; do not insert the missing equality without canon confirmation.
NOETH-QA-014	P15	lines 9699 and 9703	DUPLICATED_FORMULA	the same monomial is displayed in both normalized cases	second display likely needs the complementary case involving ξ₂₃ instead of ξ₁₄	The prose distinguishes two complementary cases, which identical displays cannot encode.	high duplication; medium candidate; scan required	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Blocks source-exact normal-form proof transcription; the abstract theorem may be designed independently but must not quote a guessed repaired monomial.
NOETH-QA-015	P15	lines 9882 and 9886	SUBSTITUTION_CONFLICT	line 9882: w_i = ω_i/h; line 9886: ω_i = w_i/h	line 9886 should be consistent with w_i = ω_i/h, equivalently ω_i = h w_i	Dividing by h in both directions does not yield formula (4).	high	OPEN_CANON_QA	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Blocks a source-exact number-ring specialization of the final finite-group finite-generation argument.
NOETH-QA-016	P15	line 9841; compare P07 heading line 5843 and bibliography lines 24005–24006	DATE_REVIEW	P07 is cited as 1915	P07 heading and cumulative bibliography give 1916	This may reflect submission, presentation, or publication dating rather than transcription error.	medium-low	REVIEW_BIBLIOGRAPHY	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	No theorem effect; retain the controlled citation until bibliographic authority review.
NOETH-QA-017	P15	line 9821; compare surrounding bracket variables	ORIENTATION_REVIEW	bracket is written (n,n−1)	surrounding variables use ξ_{n−1,n}	Reversing bracket indices changes sign but not the nonvanishing used there, so the reading may be intentional.	low	REVIEW_SYMBOL_ORIENTATION	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-24	Do not normalize orientation in source quotations; formal arguments should make antisymmetry explicit.
NOETH-QA-018	P16	formula [9], lines 10014–10018	FORMULA_SERIALIZATION	controlled display begins with bare {}=	primary print confirms continuation from F_i	Lines 10011–10012 introduce F_i and the primary page confirms that formula [9] continues with a leading equality; no source token is missing.	primary-witness verified	RESOLVED_KEEP_PRINT_FAITHFUL	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Treat the display as continuation layout in documentation; do not insert F_i into the diplomatic German.
NOETH-QA-019	P31	lines 15882, 15892, and 15896	SYMBOL_CONFLICT	literal controlled TeX R_{\bar\ma}	R_{\bar a}	Primary-witness and contextual review accepted seven glyph substitutions in ED0019, inherited by ED0020.	primary-witness verified	RESOLVED_CORRECTED_IN_ED0019	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Use the corrected basis-index notation when rebasing; the existing ED0014-linked theorem record remains provenance-stable.
NOETH-QA-020	P31	line 16045	UNINTRODUCED_SYMBOL	residue coefficient field includes a variable u	u is introduced by the cited function-domain construction	Canon review traced the symbol to the preceding cited setup; no source token or hypothesis is missing.	context verified	RESOLVED_CONTEXT_CONFIRMED	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	The imperfect-residue-field example is no longer source-blocked for this reason.
NOETH-QA-021	P31	line 16073	CROSS_REFERENCE_CONFLICT	nach 1.	nach 2.	Primary-witness and argument review accepted the cross-reference correction in ED0019, inherited by ED0020.	primary-witness verified	RESOLVED_CORRECTED_IN_ED0019	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Use nach 2. after an explicit canon rebase; existing ED0014 locators remain unchanged.
NOETH-QA-022	P27	line 14225	HISTORICAL_IDEAL_QUOTIENT_NOTATION	q/p, q/p², …, q/pⁱ	print-faithful historical notation for (q:p), (q:p²), …, (q:pⁱ)	Primary-witness review confirms the slash typography; the mathematical chain is the colon-ideal chain, not quotient modules.	primary-witness verified	RESOLVED_KEEP_WITH_APPARATUS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Formalize colon ideals and preserve the historical slash only in source quotations.
NOETH-QA-023	P28	line 14238	STATEMENT_SCOPE	zweiseitig unzerlegbare Ideale und Charaktere	print-faithful shorthand; modern statement uses irreducible characters under splitting and semisimplicity hypotheses	Primary-witness review confirms bare Charaktere; the surrounding representation-class sentence fixes the intended modern scope.	primary-witness verified	RESOLVED_KEEP_WITH_APPARATUS	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	Any Lean statement must make irreducibility and field hypotheses explicit while preserving the source shorthand.
NOETH-QA-024	P33	body line 16261; bibliography line 24057	ORTHOGRAPHY_REVIEW	Grössen	Größen	The forms differ only orthographically and may reflect normalization rather than a defect.	low	REVIEW_ORTHOGRAPHY	019fca5c-0e73-7c72-92fb-5b507b710598	2026-08-25	No theorem effect; preserve both controlled readings until canon review.
